task,time
start v1 0,1584377316.4664242
click,1584377326.1837847
click,1584377330.0748963
stop v1 0,1584377334.6327775
start v2 0,1584377364.6674492
click,1584377374.1331031
click,1584377375.3747587
click,1584377376.2752416
click,1584377377.192692
click,1584377378.156992
click,1584377379.2130437
stop v2 0,1584377382.3735383
start v1 1,1584377412.39463
click,1584377421.066292
click,1584377424.2247849
stop v1 1,1584377429.0524776
start v2 1,1584377459.0872505
click,1584377467.630837
click,1584377469.016371
click,1584377470.026313
click,1584377471.0554538
click,1584377471.9770916
click,1584377473.0095391
stop v2 1,1584377476.173501
start v1 2,1584377506.1937993
click,1584377514.7659853
click,1584377519.8740728
stop v1 2,1584377524.5710402
start v2 2,1584377554.5819156
click,1584377564.2902715
click,1584377565.6410573
click,1584377566.5905063
click,1584377567.5724182
click,1584377568.654232
click,1584377569.5456293
stop v2 2,1584377572.6322012
start v1 3,1584377602.6515896
click,1584377612.3313196
click,1584377615.4949398
stop v1 3,1584377621.9785974
start v2 3,1584377652.0131335
click,1584377660.5858932
click,1584377662.3259192
click,1584377663.5977526
click,1584377664.6676302
click,1584377665.5698586
click,1584377666.5060825
stop v2 3,1584377669.4600763
