mA,V,time
449.90000000000003,4.816,1585347679.1164265
449.90000000000003,4.816,1585347679.1835308
449.90000000000003,4.816,1585347679.2507713
449.90000000000003,4.816,1585347679.3175921
450.3,4.816,1585347679.384924
449.90000000000003,4.816,1585347679.4518952
450.1,4.816,1585347679.5192642
449.90000000000003,4.816,1585347679.5868077
450.3,4.816,1585347679.6546378
450.0,4.816,1585347679.7217095
450.40000000000003,4.816,1585347679.7887852
451.1,4.816,1585347679.8559864
451.1,4.816,1585347679.9239
450.1,4.816,1585347679.9899364
450.0,4.816,1585347680.057135
450.1,4.816,1585347680.1247416
452.90000000000003,4.816,1585347680.1919525
449.90000000000003,4.816,1585347680.2591271
450.3,4.816,1585347680.3263047
450.1,4.816,1585347680.3926356
450.6,4.816,1585347680.4598653
451.3,4.816,1585347680.5270915
450.1,4.816,1585347680.5935593
449.90000000000003,4.816,1585347680.6607096
450.1,4.816,1585347680.72781
450.1,4.816,1585347680.7948558
450.70000000000005,4.816,1585347680.8623765
450.3,4.816,1585347680.929467
450.70000000000005,4.816,1585347680.9966085
450.20000000000005,4.816,1585347681.0636406
450.0,4.816,1585347681.130823
450.40000000000003,4.816,1585347681.198027
460.70000000000005,4.816,1585347681.2641037
512.3000000000001,4.816,1585347681.3317177
454.90000000000003,4.816,1585347681.3990378
450.20000000000005,4.816,1585347681.4661984
450.0,4.816,1585347681.5326555
450.0,4.816,1585347681.5997708
450.0,4.816,1585347681.6669102
450.20000000000005,4.816,1585347681.7338982
450.0,4.816,1585347681.8014843
451.1,4.816,1585347681.867622
450.70000000000005,4.816,1585347681.9348078
449.90000000000003,4.816,1585347682.002408
450.3,4.816,1585347682.0696182
450.0,4.816,1585347682.1357026
449.90000000000003,4.816,1585347682.2028017
450.0,4.816,1585347682.2703857
450.3,4.816,1585347682.3376436
450.0,4.816,1585347682.4046786
450.0,4.816,1585347682.4711902
450.40000000000003,4.816,1585347682.538437
450.1,4.816,1585347682.6056402
450.0,4.816,1585347682.6726239
450.0,4.816,1585347682.7392912
450.0,4.816,1585347682.806534
450.5,4.816,1585347682.8736446
450.3,4.816,1585347682.9411728
450.1,4.816,1585347683.008296
450.1,4.816,1585347683.0754833
450.0,4.816,1585347683.1425917
449.90000000000003,4.816,1585347683.2091427
450.5,4.816,1585347683.2764432
450.1,4.816,1585347683.3435566
450.0,4.816,1585347683.4100235
450.0,4.816,1585347683.4771876
450.1,4.816,1585347683.5442622
450.0,4.816,1585347683.6113458
449.90000000000003,4.816,1585347683.6790695
450.3,4.816,1585347683.7450693
450.0,4.816,1585347683.8131754
450.1,4.816,1585347683.8797116
450.6,4.816,1585347683.9468975
450.40000000000003,4.816,1585347684.013872
504.5,4.816,1585347684.0809507
471.8,4.816,1585347684.1716788
450.0,4.816,1585347684.2138247
450.1,4.816,1585347684.2805953
449.8,4.816,1585347684.3484092
450.0,4.816,1585347684.4156199
450.40000000000003,4.816,1585347684.4826615
450.0,4.816,1585347684.5503054
450.40000000000003,4.816,1585347684.6175046
450.3,4.816,1585347684.684565
450.0,4.816,1585347684.7516136
450.1,4.816,1585347684.8182392
450.0,4.816,1585347684.885451
450.0,4.816,1585347684.9525595
450.0,4.816,1585347685.0191638
450.3,4.816,1585347685.086428
449.90000000000003,4.816,1585347685.1534534
450.1,4.816,1585347685.2205212
450.0,4.816,1585347685.288295
450.40000000000003,4.816,1585347685.3543596
450.40000000000003,4.816,1585347685.421442
450.40000000000003,4.816,1585347685.4892106
450.1,4.816,1585347685.5564816
450.40000000000003,4.816,1585347685.6236343
449.90000000000003,4.816,1585347685.6907265
450.1,4.816,1585347685.757299
450.0,4.816,1585347685.824442
450.3,4.816,1585347685.8914661
450.3,4.816,1585347685.9580896
450.1,4.816,1585347686.0253322
450.5,4.816,1585347686.0925264
450.1,4.816,1585347686.1597536
450.20000000000005,4.816,1585347686.226431
450.0,4.816,1585347686.293566
450.0,4.816,1585347686.3607366
450.1,4.816,1585347686.4273214
450.20000000000005,4.816,1585347686.4944046
450.20000000000005,4.816,1585347686.5615504
450.5,4.816,1585347686.628793
450.5,4.816,1585347686.6957698
450.20000000000005,4.816,1585347686.763423
488.5,4.816,1585347686.8297496
490.40000000000003,4.816,1585347686.896854
450.8,4.816,1585347686.9644122
450.0,4.816,1585347687.030728
450.1,4.816,1585347687.0982938
450.3,4.816,1585347687.1653779
450.1,4.816,1585347687.2328706
450.3,4.816,1585347687.2991674
449.90000000000003,4.816,1585347687.3670325
449.90000000000003,4.816,1585347687.4331224
450.5,4.816,1585347687.5007653
450.1,4.816,1585347687.5673418
449.90000000000003,4.816,1585347687.634249
450.6,4.816,1585347687.7019184
450.3,4.816,1585347687.768601
450.40000000000003,4.816,1585347687.8366144
450.70000000000005,4.816,1585347687.9023652
450.3,4.816,1585347687.9701085
450.0,4.816,1585347688.0371745
450.3,4.816,1585347688.1033025
450.40000000000003,4.816,1585347688.1708229
450.5,4.816,1585347688.2381842
450.1,4.816,1585347688.304831
450.40000000000003,4.816,1585347688.3726835
450.1,4.816,1585347688.4392192
451.3,4.816,1585347688.5063906
450.5,4.816,1585347688.574111
450.20000000000005,4.816,1585347688.6408246
450.40000000000003,4.816,1585347688.707878
451.5,4.816,1585347688.7746336
451.5,4.816,1585347688.8423135
451.0,4.816,1585347688.9088678
450.90000000000003,4.816,1585347688.9759865
450.40000000000003,4.816,1585347689.042494
450.5,4.816,1585347689.1103451
450.1,4.816,1585347689.177516
450.3,4.816,1585347689.244231
450.5,4.816,1585347689.3108282
450.3,4.816,1585347689.3787515
450.3,4.816,1585347689.4451017
450.40000000000003,4.816,1585347689.5128467
470.20000000000005,4.816,1585347689.5797129
507.1,4.816,1585347689.646245
450.20000000000005,4.816,1585347689.7132003
450.3,4.816,1585347689.7804046
450.0,4.816,1585347689.8476362
450.3,4.816,1585347689.9142835
450.1,4.816,1585347689.981794
450.8,4.816,1585347690.0491292
450.1,4.816,1585347690.1153345
449.90000000000003,4.816,1585347690.183108
450.1,4.816,1585347690.2502573
452.40000000000003,4.816,1585347690.3164222
450.0,4.816,1585347690.384265
449.90000000000003,4.816,1585347690.4514184
450.1,4.816,1585347690.518666
449.90000000000003,4.816,1585347690.5846894
450.1,4.816,1585347690.6523905
450.0,4.816,1585347690.7195816
449.90000000000003,4.816,1585347690.7868052
450.6,4.816,1585347690.8534005
451.3,4.816,1585347690.9206197
451.0,4.816,1585347690.9879491
450.40000000000003,4.816,1585347691.055124
449.8,4.816,1585347691.1217232
450.1,4.816,1585347691.188944
452.1,4.816,1585347691.2561946
450.1,4.816,1585347691.3228688
450.1,4.816,1585347691.3900728
449.90000000000003,4.816,1585347691.4572487
450.5,4.816,1585347691.5243523
449.90000000000003,4.816,1585347691.5909684
450.3,4.816,1585347691.6582887
450.3,4.816,1585347691.7246308
450.5,4.816,1585347691.7927463
450.40000000000003,4.816,1585347691.8593278
450.40000000000003,4.816,1585347691.9257698
450.70000000000005,4.816,1585347691.993028
450.1,4.816,1585347692.0607293
449.90000000000003,4.816,1585347692.127985
450.0,4.816,1585347692.1940944
449.90000000000003,4.816,1585347692.2619019
452.8,4.816,1585347692.3291423
511.1,4.816,1585347692.3952131
462.8,4.816,1585347692.4622347
450.20000000000005,4.816,1585347692.5300856
450.0,4.816,1585347692.5973122
449.8,4.816,1585347692.6633694
449.90000000000003,4.816,1585347692.7310083
450.5,4.816,1585347692.7983522
449.90000000000003,4.816,1585347692.864479
450.40000000000003,4.816,1585347692.9317093
450.40000000000003,4.816,1585347692.9995725
449.70000000000005,4.816,1585347693.06564
450.3,4.816,1585347693.1326935
450.0,4.816,1585347693.2003727
449.90000000000003,4.816,1585347693.2676415
450.40000000000003,4.816,1585347693.3348207
450.3,4.816,1585347693.4019587
449.90000000000003,4.816,1585347693.4686356
450.0,4.816,1585347693.5358968
449.90000000000003,4.816,1585347693.603022
449.8,4.816,1585347693.669572
449.90000000000003,4.816,1585347693.7368488
450.1,4.816,1585347693.8039186
450.20000000000005,4.816,1585347693.8709207
450.0,4.816,1585347693.9376714
450.6,4.816,1585347694.004922
450.20000000000005,4.816,1585347694.0720105
449.90000000000003,4.816,1585347694.1386087
450.0,4.816,1585347694.2058413
449.8,4.816,1585347694.273042
450.0,4.816,1585347694.3402238
449.90000000000003,4.816,1585347694.4068673
449.90000000000003,4.816,1585347694.4740465
450.3,4.816,1585347694.5411024
449.70000000000005,4.816,1585347694.6089075
450.0,4.816,1585347694.67501
449.8,4.816,1585347694.7421696
449.90000000000003,4.816,1585347694.809301
450.0,4.816,1585347694.8771334
450.3,4.816,1585347694.9432235
450.90000000000003,4.816,1585347695.0103264
450.1,4.816,1585347695.0780735
497.3,4.816,1585347695.145307
480.1,4.816,1585347695.2125044
450.3,4.816,1585347695.2787974
449.90000000000003,4.816,1585347695.3456855
449.8,4.816,1585347695.4129114
450.0,4.816,1585347695.4799457
450.0,4.816,1585347695.5477328
449.90000000000003,4.816,1585347695.6138384
449.90000000000003,4.816,1585347695.6809547
449.90000000000003,4.816,1585347695.7481406
449.8,4.816,1585347695.8149273
450.1,4.816,1585347695.882068
450.3,4.816,1585347695.9491558
450.5,4.816,1585347696.0169928
449.90000000000003,4.816,1585347696.0841835
450.0,4.816,1585347696.1502473
449.90000000000003,4.816,1585347696.217487
450.1,4.816,1585347696.2853568
449.90000000000003,4.816,1585347696.3514137
450.0,4.816,1585347696.4186308
450.1,4.816,1585347696.4863293
450.0,4.816,1585347696.5534666
450.0,4.816,1585347696.6195812
450.5,4.816,1585347696.6868472
450.0,4.816,1585347696.7546017
450.5,4.816,1585347696.8217695
450.0,4.816,1585347696.8878362
449.90000000000003,4.816,1585347696.955739
450.5,4.816,1585347697.0229383
450.1,4.816,1585347697.0889244
450.0,4.816,1585347697.1561625
449.90000000000003,4.816,1585347697.2238812
450.0,4.816,1585347697.2909
450.3,4.816,1585347697.3580632
450.0,4.816,1585347697.4246948
450.0,4.816,1585347697.491751
450.0,4.816,1585347697.5590694
450.0,4.816,1585347697.6263828
449.90000000000003,4.816,1585347697.6929607
449.70000000000005,4.816,1585347697.7600741
450.0,4.816,1585347697.8273008
479.3,4.816,1585347697.8939168
498.0,4.816,1585347697.96104
450.70000000000005,4.816,1585347698.0282037
450.8,4.816,1585347698.0953705
449.90000000000003,4.816,1585347698.1619518
450.0,4.816,1585347698.2292063
449.90000000000003,4.816,1585347698.2964966
450.0,4.816,1585347698.3636334
449.90000000000003,4.816,1585347698.4302273
449.8,4.816,1585347698.4973857
450.0,4.816,1585347698.5645225
449.90000000000003,4.816,1585347698.6311293
449.8,4.816,1585347698.6983213
450.20000000000005,4.816,1585347698.7655885
450.40000000000003,4.816,1585347698.8326387
449.8,4.816,1585347698.9003706
449.90000000000003,4.816,1585347698.966511
450.6,4.816,1585347699.0337348
450.40000000000003,4.816,1585347699.1008844
450.0,4.816,1585347699.1675916
449.90000000000003,4.816,1585347699.2347748
449.90000000000003,4.816,1585347699.3018887
449.90000000000003,4.816,1585347699.36968
449.8,4.816,1585347699.436845
450.40000000000003,4.816,1585347699.5039163
450.0,4.816,1585347699.569956
450.0,4.816,1585347699.6377974
449.90000000000003,4.816,1585347699.705002
450.0,4.816,1585347699.7720969
450.6,4.816,1585347699.83811
450.40000000000003,4.816,1585347699.9059613
450.0,4.816,1585347699.973107
450.3,4.816,1585347700.040269
450.3,4.816,1585347700.106912
450.5,4.816,1585347700.1741076
449.8,4.816,1585347700.2412674
450.1,4.816,1585347700.308557
449.8,4.816,1585347700.375266
449.90000000000003,4.816,1585347700.4424112
450.3,4.816,1585347700.5096302
450.40000000000003,4.816,1585347700.5756679
462.1,4.816,1585347700.6434038
512.4,4.816,1585347700.7104297
453.40000000000003,4.816,1585347700.7776167
449.8,4.816,1585347700.8442264
450.3,4.816,1585347700.9113386
450.0,4.816,1585347700.9786146
450.20000000000005,4.816,1585347701.0457914
451.3,4.816,1585347701.1123133
451.40000000000003,4.816,1585347701.1796322
450.5,4.816,1585347701.2468426
450.70000000000005,4.816,1585347701.3140194
450.5,4.816,1585347701.3805737
450.3,4.816,1585347701.4478257
450.40000000000003,4.816,1585347701.5150173
450.8,4.816,1585347701.5816395
450.20000000000005,4.816,1585347701.6489758
450.6,4.816,1585347701.7161868
450.40000000000003,4.816,1585347701.7832825
450.40000000000003,4.816,1585347701.8498461
450.40000000000003,4.816,1585347701.9170845
450.1,4.816,1585347701.9842541
450.5,4.816,1585347702.0514
450.20000000000005,4.816,1585347702.1179965
450.3,4.816,1585347702.1851933
450.8,4.816,1585347702.2522674
450.6,4.816,1585347702.319998
450.20000000000005,4.816,1585347702.3871975
450.40000000000003,4.816,1585347702.4532046
450.40000000000003,4.816,1585347702.5202894
450.1,4.816,1585347702.5881615
450.3,4.816,1585347702.6554332
450.40000000000003,4.816,1585347702.7213924
450.1,4.816,1585347702.7885845
450.3,4.816,1585347702.8563645
450.3,4.816,1585347702.9234166
450.40000000000003,4.816,1585347702.990534
450.6,4.816,1585347703.0571654
450.6,4.816,1585347703.1243315
450.1,4.816,1585347703.191446
450.20000000000005,4.816,1585347703.2587323
450.70000000000005,4.816,1585347703.3253958
450.1,4.816,1585347703.3925452
506.8,4.816,1585347703.4597151
471.1,4.816,1585347703.5268862
450.3,4.816,1585347703.5934906
450.40000000000003,4.816,1585347703.6606576
450.5,4.816,1585347703.7279007
450.5,4.816,1585347703.794483
450.40000000000003,4.816,1585347703.8615706
450.40000000000003,4.816,1585347703.9287357
450.3,4.816,1585347703.9959757
450.40000000000003,4.816,1585347704.0626311
450.5,4.816,1585347704.1298153
450.3,4.816,1585347704.197029
450.3,4.816,1585347704.2641263
450.5,4.816,1585347704.33174
450.6,4.816,1585347704.3978086
450.3,4.816,1585347704.4650114
450.3,4.816,1585347704.5327027
450.5,4.816,1585347704.5999541
450.20000000000005,4.816,1585347704.6660929
450.1,4.816,1585347704.733209
450.5,4.816,1585347704.8008711
450.40000000000003,4.816,1585347704.8680391
450.1,4.816,1585347704.9351923
450.3,4.816,1585347705.0011597
451.0,4.816,1585347705.0690312
451.0,4.816,1585347705.13629
450.5,4.816,1585347705.2034454
450.20000000000005,4.816,1585347705.2700522
450.40000000000003,4.816,1585347705.3373008
450.6,4.816,1585347705.404475
450.20000000000005,4.816,1585347705.4715455
450.5,4.816,1585347705.5382051
450.5,4.816,1585347705.6054833
450.6,4.816,1585347705.6725972
450.40000000000003,4.816,1585347705.7397285
450.70000000000005,4.816,1585347705.8064294
450.1,4.816,1585347705.8735619
450.5,4.816,1585347705.940608
450.20000000000005,4.816,1585347706.0073535
450.40000000000003,4.816,1585347706.074544
451.0,4.816,1585347706.1416492
489.6,4.816,1585347706.2088017
488.90000000000003,4.816,1585347706.2754266
450.40000000000003,4.816,1585347706.342631
450.6,4.816,1585347706.4098847
450.1,4.816,1585347706.4771512
450.70000000000005,4.816,1585347706.5437684
450.3,4.816,1585347706.6109252
450.3,4.816,1585347706.6780639
450.40000000000003,4.816,1585347706.744659
