mA,V,time
469.3,4.816,1585348417.7240815
451.40000000000003,4.816,1585348417.7909503
450.90000000000003,4.816,1585348417.8584418
450.5,4.816,1585348417.925479
450.70000000000005,4.816,1585348417.9921381
450.90000000000003,4.816,1585348418.0592215
450.90000000000003,4.816,1585348418.1275787
450.8,4.816,1585348418.1951725
451.5,4.816,1585348418.2626069
451.0,4.816,1585348418.3296332
450.90000000000003,4.816,1585348418.396702
451.0,4.816,1585348418.4636743
450.6,4.816,1585348418.5311975
450.70000000000005,4.816,1585348418.5982668
451.0,4.816,1585348418.6651857
450.70000000000005,4.816,1585348418.7315137
450.8,4.816,1585348418.798641
450.70000000000005,4.816,1585348418.8656592
450.8,4.816,1585348418.9337034
451.0,4.816,1585348419.0001132
451.5,4.816,1585348419.0671995
451.40000000000003,4.816,1585348419.134196
451.5,4.816,1585348419.2016976
451.0,4.816,1585348419.2687423
451.0,4.816,1585348419.335747
450.90000000000003,4.816,1585348419.4026737
450.8,4.816,1585348419.4691632
450.8,4.816,1585348419.5362709
450.8,4.816,1585348419.603246
451.1,4.816,1585348419.6711462
451.0,4.816,1585348419.738347
450.90000000000003,4.816,1585348419.8053772
451.0,4.816,1585348419.8723717
450.8,4.816,1585348419.938775
451.0,4.816,1585348420.0058482
450.8,4.816,1585348420.0726767
451.1,4.816,1585348420.1402273
451.0,4.816,1585348420.2073627
450.70000000000005,4.816,1585348420.2743337
451.20000000000005,4.816,1585348420.3413422
492.0,4.816,1585348420.4089828
486.8,4.816,1585348420.4760036
451.6,4.816,1585348420.5430417
451.70000000000005,4.816,1585348420.609461
450.70000000000005,4.816,1585348420.6765707
450.70000000000005,4.816,1585348420.743512
450.90000000000003,4.816,1585348420.810479
450.90000000000003,4.816,1585348420.877981
450.8,4.816,1585348420.945054
450.70000000000005,4.816,1585348421.012033
451.0,4.816,1585348421.0784159
451.1,4.816,1585348421.1454666
451.5,4.816,1585348421.2135668
451.3,4.816,1585348421.2804244
451.3,4.816,1585348421.3468423
450.8,4.816,1585348421.4137437
451.1,4.816,1585348421.4817562
451.0,4.816,1585348421.548202
450.6,4.816,1585348421.6152997
450.8,4.816,1585348421.6822264
451.5,4.816,1585348421.749208
450.8,4.816,1585348421.8168437
450.90000000000003,4.816,1585348421.8836942
451.1,4.816,1585348421.9505987
450.6,4.816,1585348422.0181854
451.20000000000005,4.816,1585348422.0851681
451.5,4.816,1585348422.152143
451.20000000000005,4.816,1585348422.2191415
450.8,4.816,1585348422.285588
450.70000000000005,4.816,1585348422.352583
451.0,4.816,1585348422.4195998
451.3,4.816,1585348422.4871783
450.8,4.816,1585348422.5541766
451.0,4.816,1585348422.6210883
451.1,4.816,1585348422.688064
450.70000000000005,4.816,1585348422.7647717
450.6,4.816,1585348422.8204434
450.90000000000003,4.816,1585348422.8871825
450.8,4.816,1585348422.9541593
450.90000000000003,4.816,1585348423.0214124
450.5,4.816,1585348423.088425
474.90000000000003,4.816,1585348423.1556137
504.40000000000003,4.816,1585348423.2223241
450.6,4.816,1585348423.2894006
450.6,4.816,1585348423.3566742
450.6,4.816,1585348423.4237068
450.70000000000005,4.816,1585348423.4909616
450.70000000000005,4.816,1585348423.559672
450.6,4.816,1585348423.6273487
450.6,4.816,1585348423.694361
450.6,4.816,1585348423.761344
450.70000000000005,4.816,1585348423.8283525
451.0,4.816,1585348423.894831
450.70000000000005,4.816,1585348423.9617686
450.8,4.816,1585348424.0288231
450.6,4.816,1585348424.0963304
450.5,4.816,1585348424.1633122
450.8,4.816,1585348424.2302997
450.70000000000005,4.816,1585348424.2973545
450.70000000000005,4.816,1585348424.3649719
450.70000000000005,4.816,1585348424.4319558
451.1,4.816,1585348424.4989352
451.3,4.816,1585348424.5654037
450.90000000000003,4.816,1585348424.632431
450.90000000000003,4.816,1585348424.6994512
450.40000000000003,4.816,1585348424.7665164
450.40000000000003,4.816,1585348424.8345451
450.1,4.816,1585348424.9014828
450.90000000000003,4.816,1585348424.9685671
451.20000000000005,4.816,1585348425.0350447
450.40000000000003,4.816,1585348425.1020706
450.5,4.816,1585348425.169117
451.20000000000005,4.816,1585348425.2367346
451.0,4.816,1585348425.3037102
450.8,4.816,1585348425.370613
451.0,4.816,1585348425.437679
450.70000000000005,4.816,1585348425.5041084
450.8,4.816,1585348425.571092
450.90000000000003,4.816,1585348425.6381142
450.6,4.816,1585348425.7056737
450.8,4.816,1585348425.7726302
450.70000000000005,4.816,1585348425.8397179
457.3,4.816,1585348425.9067621
513.3000000000001,4.816,1585348425.9742758
460.20000000000005,4.816,1585348426.0413768
451.40000000000003,4.816,1585348426.1075132
451.0,4.816,1585348426.1750882
451.6,4.816,1585348426.2420797
451.40000000000003,4.816,1585348426.3091438
450.90000000000003,4.816,1585348426.376234
450.8,4.816,1585348426.4438057
450.90000000000003,4.816,1585348426.5107985
451.1,4.816,1585348426.5777915
450.90000000000003,4.816,1585348426.6442807
451.20000000000005,4.816,1585348426.7112422
451.0,4.816,1585348426.7782862
451.1,4.816,1585348426.8453603
451.0,4.816,1585348426.9128346
450.90000000000003,4.816,1585348426.9799278
450.6,4.816,1585348427.046989
451.1,4.816,1585348427.1133957
451.1,4.816,1585348427.180365
451.40000000000003,4.816,1585348427.2475631
451.40000000000003,4.816,1585348427.314541
451.5,4.816,1585348427.3821287
451.40000000000003,4.816,1585348427.4491825
451.3,4.816,1585348427.5162718
451.1,4.816,1585348427.5837955
451.20000000000005,4.816,1585348427.6507936
451.0,4.816,1585348427.7178223
451.0,4.816,1585348427.7848487
450.8,4.816,1585348427.851161
451.1,4.816,1585348427.9182684
451.1,4.816,1585348427.9853494
450.70000000000005,4.816,1585348428.0529602
451.1,4.816,1585348428.1199372
451.1,4.816,1585348428.1870909
451.1,4.816,1585348428.2541633
450.8,4.816,1585348428.3204787
450.90000000000003,4.816,1585348428.3876283
450.70000000000005,4.816,1585348428.4545405
450.90000000000003,4.816,1585348428.522034
450.70000000000005,4.816,1585348428.5891137
451.3,4.816,1585348428.6562378
502.40000000000003,4.816,1585348428.7231946
478.1,4.816,1585348428.7907116
451.1,4.816,1585348428.856788
451.0,4.816,1585348428.9248574
450.90000000000003,4.816,1585348428.9912753
451.1,4.816,1585348429.0584378
450.90000000000003,4.816,1585348429.1254907
451.1,4.816,1585348429.1925564
451.20000000000005,4.816,1585348429.2590535
451.1,4.816,1585348429.3273273
451.0,4.816,1585348429.3943093
451.0,4.816,1585348429.4608672
451.5,4.816,1585348429.5279884
450.70000000000005,4.816,1585348429.5950158
450.8,4.816,1585348429.6620677
450.90000000000003,4.816,1585348429.728515
450.70000000000005,4.816,1585348429.7957003
450.8,4.816,1585348429.8626344
450.90000000000003,4.816,1585348429.9302328
451.20000000000005,4.816,1585348429.9974024
451.6,4.816,1585348430.0644996
451.0,4.816,1585348430.1315055
451.0,4.816,1585348430.1980364
451.40000000000003,4.816,1585348430.2651868
451.20000000000005,4.816,1585348430.332188
451.1,4.816,1585348430.399793
450.8,4.816,1585348430.4669054
450.70000000000005,4.816,1585348430.5337834
451.0,4.816,1585348430.6007764
450.90000000000003,4.816,1585348430.667369
451.0,4.816,1585348430.7343512
450.8,4.816,1585348430.8013577
450.8,4.816,1585348430.8690221
451.5,4.816,1585348430.9360218
451.1,4.816,1585348431.0029972
451.1,4.816,1585348431.0699646
450.70000000000005,4.816,1585348431.137617
450.8,4.816,1585348431.2045894
451.5,4.816,1585348431.271569
451.70000000000005,4.816,1585348431.3380568
451.0,4.816,1585348431.4051154
484.20000000000005,4.816,1585348431.4721732
494.8,4.816,1585348431.5391552
451.20000000000005,4.816,1585348431.6067646
450.70000000000005,4.816,1585348431.6737347
451.0,4.816,1585348431.7407029
451.0,4.816,1585348431.8072588
450.8,4.816,1585348431.8743002
451.1,4.816,1585348431.9412465
450.8,4.816,1585348432.0094345
450.90000000000003,4.816,1585348432.0759382
451.0,4.816,1585348432.1430233
450.90000000000003,4.816,1585348432.210062
451.40000000000003,4.816,1585348432.276573
451.8,4.816,1585348432.3446977
451.20000000000005,4.816,1585348432.4117305
451.0,4.816,1585348432.4777513
451.0,4.816,1585348432.5452754
451.20000000000005,4.816,1585348432.6122913
450.70000000000005,4.816,1585348432.6793387
451.0,4.816,1585348432.7470345
451.20000000000005,4.816,1585348432.8140907
451.0,4.816,1585348432.8800495
450.8,4.816,1585348432.9471698
451.0,4.816,1585348433.0146391
451.0,4.816,1585348433.081715
450.90000000000003,4.816,1585348433.1488166
450.8,4.816,1585348433.2153733
451.0,4.816,1585348433.2824163
451.8,4.816,1585348433.3494399
451.20000000000005,4.816,1585348433.4165447
451.3,4.816,1585348433.4842613
451.20000000000005,4.816,1585348433.5513582
451.40000000000003,4.816,1585348433.618494
451.1,4.816,1585348433.6849906
451.20000000000005,4.816,1585348433.7519875
450.70000000000005,4.816,1585348433.8190815
451.40000000000003,4.816,1585348433.8862019
451.1,4.816,1585348433.9537919
450.90000000000003,4.816,1585348434.0207822
451.20000000000005,4.816,1585348434.08796
450.90000000000003,4.816,1585348434.154598
466.6,4.816,1585348434.2217882
513.0,4.816,1585348434.2889702
451.6,4.816,1585348434.35598
451.20000000000005,4.816,1585348434.4223344
450.8,4.816,1585348434.4895751
451.0,4.816,1585348434.556659
451.0,4.816,1585348434.624342
451.1,4.816,1585348434.6914685
451.1,4.816,1585348434.758582
451.0,4.816,1585348434.8256507
451.1,4.816,1585348434.892219
451.0,4.816,1585348434.9592433
450.3,4.816,1585348435.0263364
450.8,4.816,1585348435.0928705
451.0,4.816,1585348435.15996
450.8,4.816,1585348435.2271411
451.5,4.816,1585348435.2942045
451.70000000000005,4.816,1585348435.3617778
451.3,4.816,1585348435.4289253
451.1,4.816,1585348435.4961238
450.90000000000003,4.816,1585348435.562579
451.1,4.816,1585348435.629685
451.1,4.816,1585348435.6968553
450.90000000000003,4.816,1585348435.7637742
451.20000000000005,4.816,1585348435.8313298
450.8,4.816,1585348435.8984988
451.0,4.816,1585348435.965626
450.90000000000003,4.816,1585348436.0320923
450.90000000000003,4.816,1585348436.0992
451.0,4.816,1585348436.166272
450.70000000000005,4.816,1585348436.2333786
450.90000000000003,4.816,1585348436.3008924
451.0,4.816,1585348436.367988
450.70000000000005,4.816,1585348436.4350877
450.70000000000005,4.816,1585348436.501023
450.70000000000005,4.816,1585348436.5686953
450.6,4.816,1585348436.6357186
450.90000000000003,4.816,1585348436.7026181
451.20000000000005,4.816,1585348436.7702065
451.0,4.816,1585348436.837294
451.40000000000003,4.816,1585348436.904384
451.20000000000005,4.816,1585348436.971361
511.20000000000005,4.816,1585348437.0379057
467.90000000000003,4.816,1585348437.1050122
450.8,4.816,1585348437.1719995
451.1,4.816,1585348437.239121
450.70000000000005,4.816,1585348437.3056698
451.1,4.816,1585348437.3737197
451.0,4.816,1585348437.4406872
451.1,4.816,1585348437.5073698
450.70000000000005,4.816,1585348437.5747268
450.8,4.816,1585348437.6420572
450.90000000000003,4.816,1585348437.7084954
450.90000000000003,4.816,1585348437.7756464
450.8,4.816,1585348437.8429472
451.20000000000005,4.816,1585348437.909378
451.3,4.816,1585348437.9769125
451.1,4.816,1585348438.0436583
451.0,4.816,1585348438.1109633
451.1,4.816,1585348438.1776285
451.20000000000005,4.816,1585348438.2460492
451.20000000000005,4.816,1585348438.3115716
452.20000000000005,4.816,1585348438.379182
451.0,4.816,1585348438.4464886
451.20000000000005,4.816,1585348438.5131211
451.3,4.816,1585348438.5801518
451.40000000000003,4.816,1585348438.647741
451.0,4.816,1585348438.714302
451.1,4.816,1585348438.7813764
451.20000000000005,4.816,1585348438.8489654
450.70000000000005,4.816,1585348438.9157307
450.90000000000003,4.816,1585348438.983185
451.0,4.816,1585348439.0501597
451.0,4.816,1585348439.1165738
450.90000000000003,4.816,1585348439.183808
450.70000000000005,4.816,1585348439.250664
451.1,4.816,1585348439.318478
451.20000000000005,4.816,1585348439.3852048
451.1,4.816,1585348439.4517477
451.0,4.816,1585348439.5189922
451.0,4.816,1585348439.5857835
451.3,4.816,1585348439.6534977
451.3,4.816,1585348439.7199938
493.8,4.816,1585348439.787092
486.20000000000005,4.816,1585348439.8546293
451.20000000000005,4.816,1585348439.9211285
451.0,4.816,1585348439.988156
451.3,4.816,1585348440.0557775
451.40000000000003,4.816,1585348440.1223853
451.0,4.816,1585348440.1898527
450.6,4.816,1585348440.256892
451.0,4.816,1585348440.3233724
451.5,4.816,1585348440.3907354
451.20000000000005,4.816,1585348440.4583201
450.8,4.816,1585348440.5251434
450.90000000000003,4.816,1585348440.5916579
451.3,4.816,1585348440.6595075
451.0,4.816,1585348440.7257717
451.20000000000005,4.816,1585348440.793584
451.5,4.816,1585348440.8599405
451.20000000000005,4.816,1585348440.9273694
451.40000000000003,4.816,1585348440.9945614
451.3,4.816,1585348441.0612094
451.20000000000005,4.816,1585348441.1289573
451.5,4.816,1585348441.1955879
451.90000000000003,4.816,1585348441.2628567
451.20000000000005,4.816,1585348441.3297272
451.40000000000003,4.816,1585348441.3962314
451.5,4.816,1585348441.4637294
451.1,4.816,1585348441.5305762
451.1,4.816,1585348441.5983052
451.3,4.816,1585348441.664746
451.40000000000003,4.816,1585348441.7316456
451.1,4.816,1585348441.7991958
451.1,4.816,1585348441.865689
451.1,4.816,1585348441.9331799
451.0,4.816,1585348442.0000057
451.0,4.816,1585348442.0666273
451.0,4.816,1585348442.1340272
451.5,4.816,1585348442.200844
450.8,4.816,1585348442.2681708
450.8,4.816,1585348442.3354452
451.3,4.816,1585348442.4025257
450.8,4.816,1585348442.4691148
476.0,4.816,1585348442.5362685
502.70000000000005,4.816,1585348442.603184
451.0,4.816,1585348442.6702073
451.1,4.816,1585348442.7380044
450.90000000000003,4.816,1585348442.8050752
451.70000000000005,4.816,1585348442.8721256
